11.6576 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.6578 	EXP 	window1: mouseVisible = True
11.6622 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0478 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0971 	EXP 	grating: ori = 10.0
0.0971 	EXP 	fixation: autoDraw = True
0.5240 	INFO 	Keyboard events cleared
0.5234 	EXP 	grating: autoDraw = True
0.5234 	EXP 	grating: tex = 'sin'
0.6079 	EXP 	fixation: autoDraw = False
0.8265 	EXP 	grating: autoDraw = False
3.2396 	DATA 	Keypress: right
3.2554 	EXP 	fixation: autoDraw = False
3.2554 	EXP 	grating: autoDraw = False
3.2554 	EXP 	grating: ori = 8.0
3.2554 	EXP 	fixation: autoDraw = True
3.7407 	INFO 	Keyboard events cleared
3.7402 	EXP 	grating: autoDraw = True
3.7568 	EXP 	fixation: autoDraw = False
4.0412 	EXP 	grating: autoDraw = False
4.3986 	DATA 	Keypress: right
4.4066 	EXP 	fixation: autoDraw = False
4.4066 	EXP 	grating: autoDraw = False
4.4066 	EXP 	grating: ori = -6.0
4.4066 	EXP 	fixation: autoDraw = True
4.9078 	INFO 	Keyboard events cleared
4.9072 	EXP 	fixation: autoDraw = False
4.9072 	EXP 	grating: autoDraw = True
5.2069 	EXP 	grating: autoDraw = False
5.4317 	DATA 	Keypress: right
5.4400 	EXP 	fixation: autoDraw = False
5.4400 	EXP 	grating: autoDraw = False
5.4400 	EXP 	grating: ori = 7.0
5.4400 	EXP 	fixation: autoDraw = True
5.9409 	INFO 	Keyboard events cleared
5.9402 	EXP 	fixation: autoDraw = False
5.9402 	EXP 	grating: autoDraw = True
6.2402 	EXP 	grating: autoDraw = False
6.5150 	DATA 	Keypress: right
6.5229 	EXP 	fixation: autoDraw = False
6.5229 	EXP 	grating: autoDraw = False
