stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0970754,,0.0478859,0.0970754,0.5233985,0.5233985,0.6079034,0.8265175,3.2353335,right,10,1,1,2.7023159,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
1,2,8,3.2553996,,3.2355019,3.2553996,3.7401646,3.7401646,3.7568392,4.0412327,4.3960834,right,8,1,1,0.6448897,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
2,1,6,4.4065641,,4.3961829,4.4065641,4.9072061,4.9072061,4.9072061,5.2069141,5.4292269,left,-6,0,0,0.5102847,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
3,1,7,5.4400478,,5.4293345,5.4400478,5.9401614,5.9401614,5.9401614,6.2402399,6.5131313,right,7,1,1,0.5688059,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
4,1,7,6.5229023,,6.5132365,6.5229023,7.0237606,7.0237606,7.0237606,7.3236696,7.6288655,left,-7,1,1,0.5936472,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
5,1,7,7.639877,,7.6289566,7.639877,8.1402016,8.1402016,8.1402016,8.4406322,8.5321012,left,-7,1,1,0.3855112,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
6,0.5,6,8.5404358,,8.5322409,8.5404358,9.0401445,9.0401445,9.0401445,9.3391901,9.3961748,left,-6,0,0,0.3477268,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
7,0.5,6.5,9.4063681,,9.3962814,9.4063681,9.9062516,9.9062516,9.9062516,10.2061853,10.4278375,left,-6.5,0,0,0.5043378,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
8,0.5,7,10.4397872,,10.4279367,10.4397872,10.9393355,10.9393355,10.9393355,11.2406306,11.477736,right,7,0,0,0.5268464,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
9,0.5,7.5,11.489537,,11.4778362,11.489537,11.9892363,11.9892363,11.9892363,12.2899304,12.6484575,left,-7.5,0,0,0.6562442,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
10,0.5,8,12.6566712,,12.6486035,12.6566712,13.156748,13.156748,13.156748,13.4570852,14.4277721,right,8,0,0,1.2573131,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
11,0.5,8.5,14.4395406,,14.4278769,14.4395406,14.9401143,14.9401143,14.9401143,15.2397674,17.1116718,right,8.5,1,1,2.168859,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
12,0.5,8.5,17.1225898,,17.1117917,17.1225898,17.6231847,17.6231847,17.6231847,17.9236282,19.0780478,left,-8.5,1,1,1.4424416,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
13,0.5,8.5,19.0895667,,19.0781422,19.0895667,19.5896051,19.5896051,19.5896051,19.8888125,20.9965783,left,-8.5,0,0,1.3987117,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
14,0.5,9,21.00657,,20.9966996,21.00657,21.5061716,21.5061716,21.5061716,21.8065793,22.7106863,right,9,0,0,1.1895563,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
15,0.5,9.5,22.7226822,,22.7107856,22.7226822,23.2228576,23.2228576,23.2228576,23.5227163,25.3272109,left,-9.5,0,0,2.0960795,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
16,0.5,10,25.3389023,,25.327331,25.3389023,25.8396314,25.8396314,25.8396314,26.1396402,29.2796176,right,10,1,1,3.4349137,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
17,0.5,10,29.2889222,,29.2797169,29.2889222,29.7893497,29.7893497,29.7893497,30.0905941,30.3605432,right,10,0,0,0.5556231,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
18,0.5,10.5,30.372483,,30.3606686,30.372483,30.872507,30.872507,30.872507,31.1730533,31.4304372,left,-10.5,0,0,0.5539751,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
19,0.5,11,31.4387221,,31.4305439,31.4387221,31.9390758,31.9390758,31.9390758,32.2396775,32.4464155,left,-11,1,1,0.5040951,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
20,0.5,11,32.4553525,,32.4465148,32.4553525,32.9560029,32.9560029,32.9560029,33.2552786,35.0815817,left,-11,0,0,2.1177213,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
21,0.5,11.5,35.0910293,,35.0817036,35.0910293,35.5909611,35.5909611,35.5909611,35.9057915,36.6298223,right,11.5,0,0,1.0300888,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
22,0.5,12,36.6384144,,36.6299277,36.6384144,37.1391513,37.1391513,37.1391513,37.4394697,38.3614953,left,-12,0,0,1.211159,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
23,0.5,12.5,38.3719415,,38.3616001,38.3719415,38.8729925,38.8729925,38.8729925,39.1883753,39.926105,right,12.5,0,0,1.0491837,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
24,0.5,13,39.9386177,,39.9262189,39.9386177,40.4385993,40.4385993,40.4385993,40.7387113,41.2947335,right,13,1,1,0.8452295,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
25,0.5,13,41.3049203,,41.2948559,41.3049203,41.8053508,41.8053508,41.8053508,42.105831,42.2121325,left,-13,1,1,0.4049539,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
26,0.5,13,42.221665,,42.2122701,42.221665,42.7220861,42.7220861,42.7220861,43.0232509,44.7289097,left,-13,0,0,1.9995724,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
27,0.5,13.5,44.7379433,,44.7290623,44.7379433,45.2385146,45.2385146,45.2385146,45.5384819,47.7287776,right,13.5,1,1,2.4863866,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
28,0.5,13.5,47.7380901,,47.7288776,47.7380901,48.2384398,48.2384398,48.2384398,48.5387585,54.1608107,right,13.5,0,0,5.9056208,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
29,0.5,14,54.17124,,54.1609198,54.17124,54.6712298,54.6712298,54.6712298,54.9714218,56.8943851,right,14,1,1,2.2152058,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
30,0.5,14,56.9045341,,56.8944949,56.9045341,57.4047148,57.4047148,57.4047148,57.7045933,58.0439334,right,14,1,1,0.624628,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
31,0.5,14,58.0549303,,58.0440351,58.0549303,58.5551761,58.5551761,58.5551761,58.8717271,58.9966199,left,-14,1,1,0.4359613,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
