stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
32,0.5,13.5,59.0041268,,58.9967339,59.0041268,59.5047557,59.5047557,59.5047557,59.804962,60.044383,left,-13.5,0,0,0.5283138,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
33,0.5,14,60.0544469,,60.0444927,60.0544469,60.555488,60.555488,60.555488,60.8551301,61.4111469,left,-14,1,1,0.8461037,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
34,0.5,14,61.4208668,,61.4115295,61.4208668,61.9214028,61.9214028,61.9214028,62.2208132,62.6107548,left,-14,0,0,0.6878793,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
35,0.5,14.5,62.6209498,,62.6108619,62.6209498,63.1215172,63.1215172,63.1215172,63.4213648,63.6768521,left,-14.5,0,0,0.5416106,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
36,0.5,15,63.687425,,63.6769552,63.687425,64.1874695,64.1874695,64.1874695,64.4874923,64.51199,left,-15,1,1,0.3180875,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
37,0.5,15,64.5206562,,64.5121428,64.5206562,65.0207443,65.0207443,65.0207443,65.3212493,65.4775812,left,-15,0,0,0.4470195,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
38,0.5,15.5,65.4874909,,65.4777295,65.4874909,65.9880327,65.9880327,65.9880327,66.2886198,66.4748678,left,-15.5,1,1,0.4814374,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
39,0.5,15.5,66.4866504,,66.4749648,66.4866504,66.98797,66.98797,66.98797,67.2878946,67.6604624,right,15.5,0,0,0.6566082,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
40,0.5,16,67.6706318,,67.6605823,67.6706318,68.1716436,68.1716436,68.1716436,68.4715307,68.4602462,left,-16,0,0,0.280687,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
41,0.5,16.5,68.4715307,,68.4603724,68.4715307,68.9706163,68.9706163,68.9872137,69.2717109,69.3762493,right,16.5,0,0,0.3930657,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
42,0.5,17,69.3872606,,69.3763768,69.3872606,69.8873746,69.8873746,69.8873746,70.1871243,70.4602816,left,-17,1,1,0.5637155,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
43,0.5,17,70.4705228,,70.4603839,70.4705228,70.9708529,70.9708529,70.9708529,71.2708908,71.408986,left,-17,0,0,0.4304242,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
44,0.5,17.5,71.4207769,,71.4090932,71.4207769,71.9198205,71.9198205,71.9198205,72.2207963,72.5965055,left,-17.5,1,1,0.6678278,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
45,0.5,17.5,72.6190814,,72.59663,72.6190814,73.1038337,73.1038337,73.1206353,73.4040186,73.7441137,left,-17.5,0,0,0.6355736,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
46,0.5,18,73.7536306,,73.7442487,73.7536306,74.2542999,74.2542999,74.2542999,74.5537412,74.8274848,right,18,0,0,0.5685889,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
47,0.5,18.5,74.8369165,,74.8275933,74.8369165,75.3373701,75.3373701,75.3373701,75.6368777,76.1411881,left,-18.5,1,1,0.8008034,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
48,0.5,18.5,76.1531468,,76.1412646,76.1531468,76.6530861,76.6530861,76.6530861,76.9540603,76.9607107,right,18.5,1,1,0.3048692,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
49,0.5,18.5,76.9701324,,76.960814,76.9701324,77.4707096,77.4707096,77.4707096,77.770854,78.1791725,left,-18.5,1,1,0.7014577,3,1,2024-09-06_11h42.22.778,adaptive_staircase,2024.1.5,None,2024-09-06 11h42.28.176533 +0530
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Absolute threshold,16.7,,,,,,,,,
