stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
10,0.5,1,8.8781301,,8.8671602,8.8781301,9.3792472,9.3792472,9.3792472,9.679592,9.6959412,left,-1,0,0,0.3087138,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
11,0.5,1.5,9.7112015,,9.6961014,9.7112015,10.1963199,10.1963199,10.2112945,10.4958371,10.6144996,left,-1.5,1,1,0.4063758,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
12,0.5,1.5,10.6283412,,10.6146756,10.6283412,11.1295981,11.1295981,11.1295981,11.4294664,11.5812982,left,-1.5,1,1,0.4421596,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
13,0.5,1.5,11.5949739,,11.5814985,11.5949739,12.096333,12.096333,12.096333,12.3956828,12.7469876,left,-1.5,1,1,0.637595,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
14,0.5,1,12.760925,,12.7473084,12.760925,13.2623861,13.2623861,13.2623861,13.5645529,13.696267,left,-1,1,1,0.4296149,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
15,0.5,1,13.7112326,,13.6963861,13.7112326,14.1959504,14.1959504,14.2112946,14.4956246,14.6650822,right,1,1,1,0.4658557,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
16,0.5,1,14.6780831,,14.6652274,14.6780831,15.1796576,15.1796576,15.1796576,15.4956243,15.5809873,right,1,1,1,0.3880728,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
17,0.5,1,15.5949298,,15.5811557,15.5949298,16.0966613,16.0966613,16.0966613,16.4125788,16.5632167,right,1,1,1,0.458356,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
18,0.5,1,16.5788664,,16.5633542,16.5788664,17.0778855,17.0778855,17.0952654,17.3784119,17.4304984,right,1,1,1,0.3421821,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
19,0.5,1,17.4450752,,17.4306469,17.4450752,17.9455662,17.9455662,17.9455662,18.2460566,18.3811251,left,-1,1,1,0.4184279,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
20,0.5,1,18.3943602,,18.3812891,18.3943602,18.8954032,18.8954032,18.8954032,19.2126336,19.2635858,right,1,1,1,0.358198,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
21,0.5,1,19.2781311,,19.2637533,19.2781311,19.7783396,19.7783396,19.7783396,20.0790195,20.1960705,left,-1,0,0,0.4054027,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
22,0.5,1.5,20.2112114,,20.1961941,20.2112114,20.6952615,20.6952615,20.7123434,20.9958334,21.1653216,left,-1.5,1,1,0.4670553,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
23,0.5,1.5,21.1775007,,21.1655129,21.1775007,21.6787475,21.6787475,21.6787475,21.995479,22.1652169,right,1.5,1,1,0.4846166,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
24,0.5,1.5,22.1778921,,22.1653603,22.1778921,22.6785283,22.6785283,22.6785283,22.9778106,23.2304218,left,-1.5,1,1,0.5468764,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
25,0.5,1,23.2448078,,23.2305757,23.2448078,23.745835,23.745835,23.745835,24.0621559,24.9309127,left,-1,1,1,1.1737084,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
26,0.5,1,24.9443024,,24.9310553,24.9443024,25.4448686,25.4448686,25.4448686,25.7452931,25.9305678,left,-1,0,0,0.4729574,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
27,0.5,1.5,25.9443875,,25.9307295,25.9443875,26.4457112,26.4457112,26.4457112,26.745468,26.8810279,left,-1.5,0,0,0.4334075,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
28,0.5,2,26.8944529,,26.8811651,26.8944529,27.3955987,27.3955987,27.3955987,27.6953113,27.9301556,right,2,1,1,0.5190323,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
29,0.5,2,27.9444849,,27.9303533,27.9444849,28.4451049,28.4451049,28.4451049,28.7454745,28.8141028,left,-2,0,0,0.3623825,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
30,0.5,2.5,28.8275901,,28.8142622,28.8275901,29.329168,29.329168,29.329168,29.6446708,29.8131573,left,-2.5,1,1,0.4746233,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
31,0.5,2.5,29.8281956,,29.8133044,29.8281956,30.3284316,30.3284316,30.3284316,30.6434323,30.7969354,left,-2.5,1,1,0.4660474,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
32,0.5,2.5,30.8108039,,30.7971113,30.8108039,31.3104358,31.3104358,31.3271861,31.6114289,31.7145722,right,2.5,0,0,0.3962231,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
33,0.5,3,31.7273383,,31.7147372,31.7273383,32.2274295,32.2274295,32.2274295,32.5288318,32.7465131,right,3,1,1,0.5106925,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
34,0.5,3,32.7606161,,32.7466438,32.7606161,33.2627092,33.2627092,33.2627092,33.5784438,35.2468084,right,3,0,0,1.9737946,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
35,0.5,3.5,35.261048,,35.246986,35.261048,35.761308,35.761308,35.761308,36.0773329,36.1312447,right,3.5,1,1,0.3672717,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
36,0.5,3.5,36.1436879,,36.1314316,36.1436879,36.6453018,36.6453018,36.6453018,36.9615663,37.1111067,left,-3.5,1,1,0.4624976,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
37,0.5,3.5,37.1264552,,37.111207,37.1264552,37.6111174,37.6111174,37.627545,37.9112999,38.048185,left,-3.5,1,1,0.434393,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
38,0.5,3,38.0601316,,38.048355,38.0601316,38.5615574,38.5615574,38.5615574,38.8616689,38.9127399,right,3,0,0,0.33982,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
39,0.5,3.5,38.9270482,,38.9128856,38.9270482,39.4282311,39.4282311,39.4282311,39.7277909,39.812508,left,-3.5,1,1,0.3750919,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
40,0.5,3.5,39.8269525,,39.8127526,39.8269525,40.327385,40.327385,40.327385,40.6261863,40.6607852,right,3.5,0,0,0.3172469,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
41,0.5,4,40.6768365,,40.6608877,40.6768365,41.1611843,41.1611843,41.1782726,41.4614653,41.5803076,left,-4,1,1,0.4124732,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
42,0.5,4,41.5936198,,41.5804935,41.5936198,42.0945626,42.0945626,42.0945626,42.3948433,42.5798764,left,-4,1,1,0.4792514,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
43,0.5,4,42.5936453,,42.5800581,42.5936453,43.0945737,43.0945737,43.0945737,43.3933273,43.4946945,right,4,1,1,0.3963427,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
44,0.5,3.5,43.5098621,,43.4948637,43.5098621,43.9932925,43.9932925,44.0094446,44.2952125,44.3803683,left,-3.5,0,0,0.3706581,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
45,0.5,4,44.3935501,,44.3805642,44.3935501,44.8949908,44.8949908,44.8949908,45.1947674,45.3813345,left,-4,1,1,0.4803764,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
46,0.5,4,45.3943981,,45.3814977,45.3943981,45.8948205,45.8948205,45.8948205,46.1945198,46.3122578,right,4,1,1,0.4093927,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
47,0.5,4,46.327072,,46.3124209,46.327072,46.8277838,46.8277838,46.8277838,47.1273378,47.2640632,right,4,1,1,0.4334461,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
48,0.5,3.5,47.2767951,,47.2642782,47.2767951,47.7785268,47.7785268,47.7785268,48.0781401,48.2803228,left,-3.5,1,1,0.4977469,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
49,0.5,3.5,48.2944023,,48.2805354,48.2944023,48.7945679,48.7945679,48.7945679,49.0945829,49.2968933,left,-3.5,1,1,0.4918377,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Absolute threshold,3.3,,,,,,,,,
