stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0719246,,0.0549821,0.0719246,0.5289974,0.5289974,0.5822225,0.8334581,1.1056621,left,-10,1,1,0.5602807,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
1,2,8,1.1271694,,1.10581,1.1271694,1.6124677,1.6124677,1.6298307,1.9127494,1.9147728,right,8,1,1,0.2914642,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
2,2,6,1.9293092,,1.9149677,1.9293092,2.4289137,2.4289137,2.4289137,2.7283857,2.7988685,left,-6,1,1,0.3638778,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
3,2,4,2.8115741,,2.7991109,2.8115741,3.3141368,3.3141368,3.3141368,,3.5972047,left,-4,1,1,0.2677542,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
4,2,2,3.6128249,,3.5973924,3.6128249,4.113982,4.113982,4.113982,4.4282364,4.4131503,left,-2,1,1,0.2894287,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
5,1,1,4.4282364,,4.4132886,4.4282364,4.911907,4.911907,4.9275126,5.2121482,5.1972686,right,1,0,0,0.2826922,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
6,1,2,5.2121482,,5.1974037,5.2121482,5.7129212,5.7129212,5.7129212,6.0132679,6.0477267,left,-2,1,1,0.3211796,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
7,1,2,6.0630955,,6.0478829,6.0630955,6.5620021,6.5620021,6.5789369,6.8622167,6.9475285,right,2,1,1,0.3714858,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
8,1,2,6.9614847,,6.9476567,6.9614847,7.4625604,7.4625604,7.4625604,7.762664,7.9327135,left,-2,1,1,0.4627529,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
9,1,1,7.9449899,,7.9329128,7.9449899,8.4458031,8.4458031,8.4458031,8.7464463,8.8669097,right,1,1,1,0.4186513,5,1,2024-09-06_12h05.06.958,adaptive_staircase,2024.1.5,None,2024-09-06 12h05.11.805800 +0530
