stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.023754,,0.006795,0.023754,0.5232091,0.5232091,0.5409578,0.899525,17.5508125,right,10,1,1,17.0148035,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
1,2,8,17.5725109,,17.5509746,17.5725109,18.0574146,18.0574146,18.0739766,18.3580512,18.461193,right,8,1,1,0.3961317,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
2,1,6,18.4738321,,18.461373,18.4738321,18.9742515,18.9742515,18.9742515,19.275781,20.0788447,right,6,0,0,None,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
3,1,7,20.0915522,,20.0790936,20.0915522,20.5927409,20.5927409,20.5927409,20.8926076,21.1111143,left,-7,1,1,0.5073544,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
4,1,7,21.1258849,,21.1112775,21.1258849,21.6251918,21.6251918,21.6415564,21.925477,21.9935596,left,-7,0,0,0.3607174,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
5,1,8,22.0068563,,21.9938063,22.0068563,22.508133,22.508133,22.508133,22.8073821,22.8800091,right,8,1,1,0.362581,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
6,1,8,22.8912437,,22.8801826,22.8912437,23.3925433,23.3925433,23.3925433,23.6928452,23.8429284,left,-8,1,1,0.4389933,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
7,1,8,23.8579024,,23.8430621,23.8579024,24.3416574,24.3416574,24.3596305,24.6422257,24.7277148,right,8,1,1,0.3739308,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
8,1,7,24.7419914,,24.7279364,24.7419914,25.2429075,25.2429075,25.2429075,25.543081,25.6617575,right,7,1,1,0.4152452,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
9,1,7,25.6743423,,25.6619018,25.6743423,26.1756229,26.1756229,26.1756229,26.475143,26.4939084,left,-7,1,1,0.3014839,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
10,1,7,26.5092929,,26.4941169,26.5092929,27.0095801,27.0095801,27.0252198,27.3091629,30.8919898,right,7,1,1,3.8663502,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
11,0.5,6,30.9083906,,30.8921269,30.9083906,31.3898895,31.3898895,31.4238081,31.6927786,37.3776316,right,6,0,0,5.9720809,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
12,0.5,6.5,37.3908289,,37.377792,37.3908289,37.8921089,37.8921089,37.8921089,38.1921975,38.5620311,left,-6.5,0,0,0.6656721,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
13,0.5,7,38.5744975,,38.562249,38.5744975,39.075933,39.075933,39.075933,39.3921175,39.6779671,right,7,1,1,0.597212,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
14,0.5,7,39.690006,,39.6781699,39.690006,40.1924667,40.1924667,40.1924667,40.5068075,40.7767727,right,7,0,0,0.5707824,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
15,0.5,7.5,40.789823,,40.7769681,40.789823,41.2924166,41.2924166,41.2924166,41.5919782,44.4436133,left,-7.5,0,0,3.1462683,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
16,0.5,8,44.4573071,,44.4438145,44.4573071,44.9579167,44.9579167,44.9579167,45.2582464,46.6275661,left,-8,1,1,1.6653977,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
17,0.5,8,46.6406365,,46.6277509,46.6406365,47.1408038,47.1408038,47.1408038,47.4419592,47.5937687,right,8,0,0,0.4460891,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
18,0.5,8.5,47.607827,,47.5939268,47.607827,48.109287,48.109287,48.109287,48.408007,48.52839,right,8.5,1,1,0.4147762,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
19,0.5,8.5,48.5407381,,48.528667,48.5407381,49.0412914,49.0412914,49.0412914,49.3417734,50.3591258,right,8.5,0,0,1.3015097,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
20,0.5,9,50.3747238,,50.359281,50.3747238,50.8750491,50.8750491,50.8750491,51.1750305,51.394721,left,-9,1,1,0.5093045,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
21,0.5,9,51.4074052,,51.3949126,51.4074052,51.9083451,51.9083451,51.9083451,52.2218714,52.4560868,left,-9,0,0,0.5410069,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
22,0.5,9.5,52.4723176,,52.4562377,52.4723176,52.9563112,52.9563112,52.9723567,53.2555942,53.3392325,right,9.5,1,1,0.3796914,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
23,0.5,9.5,53.3548236,,53.339344,53.3548236,53.8390882,53.8390882,53.856454,54.1377169,54.4247091,left,-9.5,1,1,0.5836582,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
24,0.5,9.5,54.4395211,,54.4248708,54.4395211,54.939352,54.939352,54.939352,55.2391391,55.5903822,left,-9.5,0,0,None,4,1,2024-09-06_11h57.29.948,adaptive_staircase,2024.1.5,None,2024-09-06 11h57.46.797025 +0530
